,ge,tc,tl,ln,dn
487,487,0.027000000000000003,0.028000000000000004,99.0,99.0
488,488,0.025,0.025,99.0,99.0
489,489,0.029000000000000005,0.03,99.0,99.0
490,490,0.028000000000000004,0.035,99.0,99.0
491,491,0.024000000000000004,0.029000000000000005,99.0,99.0
492,492,0.025000000000000005,0.025,99.0,99.0
493,493,0.021,0.025,99.0,99.0
494,494,0.023000000000000003,0.024000000000000004,99.0,99.0
495,495,0.024,0.033,99.0,99.0
496,496,0.025000000000000005,0.03900000000000001,99.0,99.0
497,497,0.032,0.037000000000000005,99.0,99.0
498,498,0.038000000000000006,0.04,99.0,99.0
499,499,0.041999999999999996,0.043999999999999984,99.0,99.0
500,500,0.043,0.043999999999999984,99.0,99.0
501,501,0.044,0.04299999999999999,99.0,99.0
502,502,0.044000000000000004,0.045,99.0,99.0
503,503,0.05199999999999999,0.056999999999999995,99.0,99.0
504,504,0.056999999999999995,0.06299999999999999,99.0,99.0
505,505,0.05999999999999999,0.060999999999999985,99.0,99.0
506,506,0.055999999999999994,0.05799999999999998,99.0,99.0
507,507,0.059000000000000004,0.05799999999999998,99.0,99.0
508,508,0.057999999999999996,0.06099999999999998,99.0,99.0
509,509,0.054000000000000006,0.056999999999999995,99.0,99.0
510,510,0.056999999999999995,0.05799999999999999,99.0,99.0
511,511,0.06599999999999999,0.05899999999999998,99.0,99.0
512,512,0.06699999999999999,0.05899999999999998,99.0,99.0
513,513,0.06799999999999999,0.06199999999999999,99.0,99.0
514,514,0.071,0.06699999999999999,99.0,99.0
515,515,0.06899999999999999,0.06999999999999998,99.0,99.0
516,516,0.05999999999999999,0.06799999999999999,99.0,99.0
517,517,0.059000000000000004,0.06499999999999999,99.0,99.0
518,518,0.055,0.06999999999999998,99.0,99.0
519,519,0.057999999999999996,0.06899999999999999,99.0,99.0
520,520,0.053,0.06599999999999999,99.0,99.0
521,521,0.05299999999999999,0.06799999999999999,99.0,99.0
522,522,0.057999999999999996,0.06899999999999999,99.0,99.0
523,523,0.064,0.072,99.0,99.0
524,524,0.065,0.06999999999999999,99.0,99.0
525,525,0.066,0.073,99.0,99.0
526,526,0.06399999999999999,0.072,99.0,99.0
527,527,0.07,0.07399999999999998,99.0,99.0
528,528,0.072,0.074,99.0,99.0
529,529,0.077,0.077,99.0,99.0
530,530,0.072,0.07799999999999999,99.0,99.0
531,531,0.061,0.08199999999999998,99.0,99.0
532,532,0.064,0.07799999999999999,99.0,99.0
533,533,0.06899999999999999,0.07999999999999999,99.0,99.0
534,534,0.057999999999999996,0.08399999999999999,99.0,99.0
535,535,0.06,0.07899999999999999,99.0,99.0
536,536,0.065,0.07799999999999997,99.0,99.0
537,537,0.07300000000000001,0.08099999999999997,99.0,99.0
538,538,0.07200000000000001,0.077,99.0,99.0
539,539,0.060999999999999985,0.07799999999999999,99.0,99.0
540,540,0.065,0.073,99.0,99.0
541,541,0.061,0.07099999999999998,99.0,99.0
542,542,0.06499999999999999,0.07399999999999998,99.0,99.0
543,543,0.06799999999999999,0.07799999999999999,99.0,99.0
544,544,0.071,0.07999999999999999,99.0,99.0
545,545,0.06999999999999999,0.077,99.0,99.0
546,546,0.06199999999999999,0.07599999999999998,99.0,99.0
547,547,0.057999999999999996,0.07,99.0,99.0
