,ge,tc,tl,tf,ln
497,497,0.689,0.043000000000000003,0.045000000000000005,43.0
498,498,0.6869999999999999,0.042,0.046000000000000006,43.0
499,499,0.6849999999999999,0.042,0.046000000000000006,44.0
500,500,0.688,0.042,0.046000000000000006,44.0
501,501,0.6849999999999999,0.043000000000000003,0.04700000000000001,44.0
502,502,0.6869999999999999,0.043000000000000003,0.046000000000000006,42.0
503,503,0.6849999999999999,0.045000000000000005,0.046000000000000006,42.0
504,504,0.6869999999999999,0.044000000000000004,0.046000000000000006,42.0
505,505,0.69,0.043000000000000003,0.046000000000000006,42.0
506,506,0.6819999999999999,0.044000000000000004,0.046000000000000006,42.0
507,507,0.6819999999999999,0.044000000000000004,0.046000000000000006,41.0
508,508,0.6819999999999999,0.04,0.044000000000000004,41.0
509,509,0.692,0.041,0.045000000000000005,44.0
510,510,0.694,0.042,0.046000000000000006,43.0
511,511,0.6839999999999999,0.043000000000000003,0.045000000000000005,42.0
512,512,0.6799999999999999,0.042,0.045000000000000005,42.0
513,513,0.6769999999999999,0.04,0.046000000000000006,42.0
514,514,0.6789999999999999,0.04,0.045000000000000005,44.0
515,515,0.6779999999999999,0.04,0.045000000000000005,44.0
516,516,0.6779999999999999,0.04,0.045000000000000005,44.0
517,517,0.6839999999999999,0.04,0.045000000000000005,44.0
518,518,0.6809999999999999,0.04,0.045000000000000005,44.0
519,519,0.6819999999999999,0.041,0.045000000000000005,44.0
520,520,0.6789999999999999,0.043000000000000003,0.044000000000000004,43.0
521,521,0.6799999999999999,0.042,0.043000000000000003,43.0
522,522,0.6789999999999999,0.043000000000000003,0.043000000000000003,45.0
523,523,0.6849999999999999,0.04,0.043000000000000003,45.0
524,524,0.691,0.038000000000000006,0.043000000000000003,46.0
525,525,0.694,0.038000000000000006,0.044000000000000004,46.0
526,526,0.703,0.038000000000000006,0.044000000000000004,46.0
527,527,0.707,0.038000000000000006,0.044000000000000004,46.0
528,528,0.714,0.039,0.043000000000000003,46.0
529,529,0.717,0.039,0.044000000000000004,46.0
530,530,0.715,0.038000000000000006,0.044000000000000004,46.0
531,531,0.715,0.038000000000000006,0.043000000000000003,46.0
532,532,0.719,0.04,0.045000000000000005,46.0
533,533,0.715,0.04,0.046000000000000006,44.0
534,534,0.71,0.043000000000000003,0.051000000000000004,44.0
535,535,0.701,0.043000000000000003,0.053000000000000005,40.0
536,536,0.711,0.043000000000000003,0.054000000000000006,40.0
537,537,0.708,0.042,0.049,40.0
538,538,0.701,0.042,0.049,41.0
539,539,0.702,0.042,0.049,41.0
540,540,0.702,0.042,0.05,41.0
541,541,0.707,0.042,0.049,41.0
542,542,0.715,0.042,0.046000000000000006,41.0
543,543,0.718,0.042,0.046000000000000006,42.0
544,544,0.718,0.042,0.045000000000000005,41.0
545,545,0.719,0.045000000000000005,0.044000000000000004,42.0
546,546,0.717,0.045000000000000005,0.043000000000000003,41.0
