,ge,tc,tf,ln,dn
407,407,0.005,0.12399999999999999,99.0,99.0
408,408,0.0030000000000000005,0.13199999999999998,99.0,99.0
409,409,0.005,0.13099999999999998,99.0,99.0
410,410,0.005,0.132,99.0,99.0
411,411,0.007000000000000001,0.13499999999999998,99.0,99.0
412,412,0.009,0.141,99.0,99.0
413,413,0.01,0.144,99.0,99.0
414,414,0.008,0.142,99.0,99.0
415,415,0.009000000000000001,0.142,99.0,99.0
416,416,0.007000000000000001,0.13799999999999998,99.0,99.0
417,417,0.007000000000000001,0.13799999999999998,99.0,99.0
418,418,0.009000000000000001,0.145,99.0,99.0
419,419,0.01,0.15100000000000002,99.0,99.0
420,420,0.01,0.15600000000000003,99.0,99.0
421,421,0.01,0.159,99.0,99.0
422,422,0.01,0.154,99.0,99.0
423,423,0.011000000000000001,0.154,99.0,99.0
424,424,0.011000000000000001,0.157,99.0,99.0
425,425,0.009000000000000001,0.16500000000000004,99.0,99.0
426,426,0.011000000000000001,0.17,99.0,99.0
427,427,0.009000000000000001,0.168,99.0,99.0
428,428,0.011000000000000001,0.16300000000000003,99.0,99.0
429,429,0.01,0.149,99.0,99.0
430,430,0.007000000000000001,0.135,99.0,99.0
431,431,0.008,0.145,99.0,99.0
432,432,0.007000000000000001,0.14600000000000002,99.0,99.0
433,433,0.008,0.14400000000000002,99.0,99.0
434,434,0.007000000000000001,0.14400000000000002,99.0,99.0
435,435,0.005,0.14100000000000001,99.0,99.0
436,436,0.005,0.128,99.0,99.0
437,437,0.006000000000000001,0.129,99.0,99.0
438,438,0.005,0.13599999999999998,99.0,99.0
439,439,0.008,0.128,99.0,99.0
440,440,0.009000000000000001,0.133,99.0,99.0
441,441,0.011000000000000001,0.138,99.0,99.0
442,442,0.007000000000000001,0.145,99.0,99.0
443,443,0.007000000000000001,0.16000000000000003,99.0,99.0
444,444,0.013000000000000003,0.168,99.0,99.0
445,445,0.009000000000000001,0.169,99.0,99.0
446,446,0.011000000000000001,0.15400000000000003,99.0,99.0
447,447,0.013000000000000003,0.158,99.0,99.0
448,448,0.018000000000000006,0.14300000000000002,99.0,99.0
449,449,0.018000000000000002,0.146,99.0,99.0
450,450,0.017,0.12899999999999998,99.0,99.0
451,451,0.020000000000000004,0.12199999999999997,99.0,99.0
452,452,0.024000000000000004,0.107,99.0,99.0
453,453,0.017,0.10600000000000001,99.0,99.0
454,454,0.015000000000000003,0.10399999999999998,99.0,99.0
455,455,0.014000000000000002,0.10599999999999998,99.0,99.0
456,456,0.019000000000000003,0.102,99.0,99.0
457,457,0.021,0.102,99.0,99.0
458,458,0.028999999999999998,0.092,99.0,99.0
459,459,0.026000000000000006,0.107,99.0,99.0
460,460,0.031,0.088,99.0,99.0
461,461,0.036000000000000004,0.06999999999999998,99.0,99.0
462,462,0.033,0.065,99.0,99.0
463,463,0.034,0.061000000000000006,99.0,99.0
464,464,0.031000000000000007,0.05599999999999999,99.0,99.0
465,465,0.03300000000000001,0.059,99.0,99.0
466,466,0.036000000000000004,0.05799999999999999,99.0,99.0
467,467,0.04000000000000001,0.040999999999999995,99.0,99.0
468,468,0.038000000000000006,0.046,99.0,99.0
469,469,0.036000000000000004,0.036000000000000004,99.0,99.0
470,470,0.022000000000000002,0.03900000000000001,99.0,99.0
471,471,0.027000000000000003,0.046,99.0,99.0
472,472,0.022000000000000002,0.034,99.0,99.0
473,473,0.02,0.03,99.0,99.0
474,474,0.026000000000000002,0.029000000000000005,99.0,99.0
475,475,0.036000000000000004,0.033,99.0,99.0
476,476,0.04,0.025000000000000005,99.0,99.0
477,477,0.032,0.019000000000000003,99.0,99.0
478,478,0.037000000000000005,0.017,99.0,99.0
479,479,0.044000000000000004,0.014000000000000002,99.0,99.0
480,480,0.05000000000000001,0.015000000000000003,99.0,99.0
481,481,0.057999999999999996,0.018000000000000002,99.0,99.0
482,482,0.061,0.013999999999999999,99.0,99.0
483,483,0.04799999999999999,0.023,99.0,99.0
484,484,0.034,0.024000000000000004,99.0,99.0
485,485,0.032,0.022000000000000002,99.0,99.0
486,486,0.025000000000000005,0.022000000000000002,99.0,99.0
487,487,0.027000000000000003,0.018000000000000002,99.0,99.0
488,488,0.026000000000000002,0.018000000000000002,99.0,99.0
489,489,0.027000000000000003,0.015000000000000003,99.0,99.0
490,490,0.025999999999999995,0.012999999999999998,99.0,99.0
491,491,0.016,0.017,99.0,99.0
492,492,0.018000000000000002,0.016,99.0,99.0
493,493,0.018000000000000002,0.014000000000000002,99.0,99.0
494,494,0.023000000000000003,0.006000000000000001,99.0,99.0
495,495,0.024,0.006000000000000001,99.0,99.0
496,496,0.02,0.006000000000000001,99.0,99.0
497,497,0.026000000000000002,0.007000000000000001,99.0,99.0
498,498,0.024000000000000004,0.005,99.0,99.0
499,499,0.024000000000000004,0.005,99.0,99.0
500,500,0.023,0.0030000000000000005,99.0,99.0
501,501,0.035,0.002,99.0,99.0
502,502,0.05,0.004,99.0,99.0
503,503,0.066,0.006999999999999999,99.0,99.0
504,504,0.09299999999999999,0.005,99.0,99.0
505,505,0.09399999999999999,0.007000000000000001,99.0,99.0
506,506,0.096,0.006000000000000001,99.0,99.0
507,507,0.103,0.004,99.0,99.0
508,508,0.10099999999999999,0.0030000000000000005,99.0,99.0
509,509,0.09999999999999998,0.001,99.0,99.0
510,510,0.09699999999999999,0.002,99.0,99.0
511,511,0.09399999999999999,0.001,99.0,99.0
512,512,0.091,0.004,99.0,99.0
513,513,0.095,0.006,99.0,99.0
514,514,0.09999999999999998,0.008,99.0,99.0
515,515,0.107,0.008,99.0,99.0
516,516,0.10899999999999999,0.01,99.0,99.0
517,517,0.11899999999999997,0.013000000000000001,99.0,99.0
518,518,0.11199999999999999,0.016,99.0,99.0
519,519,0.11999999999999998,0.018000000000000002,99.0,99.0
520,520,0.10499999999999998,0.014000000000000002,99.0,99.0
521,521,0.12599999999999997,0.018000000000000002,99.0,99.0
522,522,0.118,0.02,99.0,99.0
523,523,0.10299999999999997,0.02,99.0,99.0
524,524,0.08899999999999998,0.019,99.0,99.0
525,525,0.081,0.022000000000000002,99.0,99.0
526,526,0.078,0.023000000000000003,99.0,99.0
527,527,0.08199999999999999,0.023,99.0,99.0
528,528,0.08299999999999999,0.030000000000000006,99.0,99.0
529,529,0.084,0.034,99.0,99.0
530,530,0.087,0.028000000000000008,99.0,99.0
531,531,0.09499999999999999,0.033,99.0,99.0
532,532,0.09699999999999999,0.030000000000000006,99.0,99.0
533,533,0.11599999999999998,0.026999999999999996,99.0,99.0
