,ge,tc,tf,ln
484,484,0.2820000000000001,0.21400000000000002,4.2
485,485,0.281,0.21300000000000005,4.2
486,486,0.278,0.21200000000000002,4.2
487,487,0.28400000000000003,0.21200000000000002,4.2
488,488,0.276,0.21200000000000008,4.2
489,489,0.2790000000000001,0.21100000000000005,4.2
490,490,0.276,0.21200000000000008,4.62
491,491,0.275,0.21300000000000005,4.62
492,492,0.26700000000000007,0.21200000000000002,4.2
493,493,0.269,0.21200000000000002,4.2
494,494,0.2790000000000001,0.21200000000000002,4.2
495,495,0.28,0.21200000000000002,4.2
496,496,0.281,0.212,4.2
497,497,0.276,0.21100000000000002,4.62
498,498,0.28,0.21100000000000002,4.62
499,499,0.28800000000000003,0.21100000000000002,4.2
500,500,0.29000000000000004,0.21100000000000002,4.2
501,501,0.28600000000000003,0.21100000000000002,4.2
502,502,0.28200000000000003,0.21100000000000002,4.2
503,503,0.28600000000000003,0.21100000000000002,4.2
504,504,0.28400000000000003,0.21100000000000002,4.2
505,505,0.28400000000000003,0.21100000000000002,4.2
506,506,0.281,0.21200000000000002,4.2
507,507,0.276,0.213,4.2
508,508,0.276,0.213,3.8
509,509,0.28500000000000003,0.21200000000000002,3.8
510,510,0.28500000000000003,0.21200000000000002,3.8
511,511,0.28300000000000003,0.21200000000000002,3.8
512,512,0.28900000000000003,0.213,3.8
513,513,0.28600000000000003,0.21400000000000002,3.8
514,514,0.29,0.213,3.8
515,515,0.293,0.21400000000000002,4.2
516,516,0.293,0.21400000000000002,3.8
517,517,0.293,0.21400000000000002,4.2
518,518,0.28900000000000003,0.21400000000000002,4.2
519,519,0.28700000000000003,0.21400000000000002,4.2
520,520,0.28900000000000003,0.21400000000000002,4.2
521,521,0.29100000000000004,0.21400000000000002,4.2
522,522,0.28900000000000003,0.21400000000000002,4.2
523,523,0.28700000000000003,0.21400000000000002,4.2
524,524,0.29100000000000004,0.21400000000000002,4.2
525,525,0.29000000000000004,0.21300000000000005,4.2
526,526,0.28900000000000003,0.21400000000000002,4.2
527,527,0.282,0.21500000000000002,3.8
528,528,0.29,0.21400000000000002,4.2
529,529,0.29400000000000004,0.21500000000000002,4.2
530,530,0.291,0.21400000000000002,4.2
531,531,0.292,0.21400000000000002,4.2
532,532,0.29000000000000004,0.21600000000000003,4.2
533,533,0.28700000000000003,0.217,3.8
534,534,0.28900000000000003,0.217,3.8
535,535,0.29400000000000004,0.217,3.8
536,536,0.29400000000000004,0.218,3.8
537,537,0.292,0.218,3.8
538,538,0.292,0.218,3.8
539,539,0.292,0.21700000000000003,3.8
540,540,0.293,0.21700000000000003,3.8
541,541,0.292,0.21700000000000003,3.8
542,542,0.292,0.21700000000000003,3.8
543,543,0.28600000000000003,0.21700000000000003,3.8
544,544,0.28700000000000003,0.21700000000000003,3.8
545,545,0.29000000000000004,0.218,3.8
546,546,0.28600000000000003,0.21700000000000003,3.8
